57,95,59,94,86,39,78,53,8,96
26,14,0,61,35,3,78,73,7,13
36,20,44,37,5,11,68,63,3,0
64,75,63,4,61,71,10,12,11,88
58,99,99,19,49,82,23,40,37,1
69,7,35,76,14,86,42,38,16,23
30,87,42,28,94,94,21,86,58,30
90,8,74,82,0,38,25,64,17,36
23,62,57,77,96,87,60,42,42,44
4,0,81,23,80,39,94,76,42,26
39,97,31,72,21,71,7,78,71,23
43,21,19,53,74,2,63,48,96,40
74,37,33,34,62,90,15,42,94,65
91,44,47,51,20,56,23,46,57,20
9,81,91,47,5,76,19,38,4,19
38,0,23,65,82,2,2,27,24,38
74,2,19,70,79,84,80,33,23,51
44,49,35,0,36,15,63,58,45,55
13,35,76,22,8,12,94,42,32,54
92,54,69,96,22,88,91,53,56,6
92,80,42,96,21,60,38,81,68,52
21,36,95,56,34,15,46,93,96,91
81,55,11,83,14,12,49,75,37,61
6,78,9,80,13,90,51,88,43,68
60,19,91,82,8,15,90,52,39,6
26,43,79,50,80,8,10,24,69,83
95,2,35,6,90,39,82,99,34,6
84,0,76,36,32,96,35,40,2,53
81,73,73,55,17,15,67,76,68,52
64,70,36,82,84,39,78,52,79,20
10,83,4,72,7,59,79,52,96,76
17,11,90,65,72,38,89,63,28,13
56,21,35,50,81,82,0,68,83,96
23,5,93,85,39,94,85,95,94,51
35,86,17,12,45,47,78,50,8,53
8,13,24,70,50,19,35,96,49,58
71,57,95,57,19,40,56,21,35,64
43,90,83,16,96,89,90,54,45,58
85,76,56,28,19,52,16,91,24,67
63,21,95,83,15,14,33,0,46,86
47,95,64,24,97,53,47,22,95,39
96,57,92,12,36,8,87,45,88,79
8,12,30,34,67,39,49,94,38,84
47,91,7,51,85,76,80,59,80,12
65,37,85,52,77,39,80,74,88,81
84,97,89,58,84,97,90,31,56,86
39,80,37,40,68,87,80,93,19,26
79,73,13,34,49,11,5,84,10,71
49,38,4,63,30,41,21,77,75,63
8,2,79,33,36,9,37,10,85,84
11,82,14,93,53,26,19,35,58,73
20,39,77,68,6,13,63,75,53,7
67,41,46,20,14,51,44,73,39,40
67,32,60,48,38,62,2,57,85,47
6,4,49,89,24,24,73,31,38,30
62,31,8,16,16,49,18,47,69,33
54,25,90,22,61,96,26,45,84,55
3,1,72,32,54,30,98,93,48,72
88,61,0,55,77,97,58,94,94,59
39,54,13,29,54,47,82,32,31,49
49,44,98,31,72,58,59,87,50,72
91,5,93,42,5,48,18,41,78,2
52,41,70,93,84,3,12,89,88,49
21,91,9,95,74,84,68,99,35,38
29,56,74,63,3,48,18,7,54,97
11,86,61,15,41,0,79,90,24,88
49,20,39,87,88,83,88,18,8,18
28,83,13,95,85,88,68,16,39,99
29,67,10,10,16,33,98,20,96,47
93,75,74,60,31,16,54,20,82,79
98,78,25,4,29,79,22,19,18,85
74,72,16,23,18,95,62,17,87,89
3,4,5,11,38,90,63,61,56,48
80,83,55,92,12,60,48,23,34,36
90,71,29,50,90,12,68,31,3,40
35,6,55,17,92,20,85,65,6,64
85,47,90,5,25,75,29,80,76,49
4,31,5,14,55,75,65,24,8,78
35,19,81,22,69,85,96,71,57,84
22,5,53,63,12,90,12,24,30,32
12,86,80,77,12,82,72,88,0,77
33,31,92,14,0,31,46,33,90,14
39,70,92,45,71,25,0,38,52,18
5,67,86,22,26,31,71,2,81,58
82,93,5,20,7,83,29,57,19,61
47,64,18,35,6,55,31,4,69,37
79,35,31,26,85,35,38,99,46,38
37,5,81,22,3,41,53,70,24,93
97,23,70,52,86,69,61,60,24,39
75,25,61,59,83,35,20,29,82,97
92,73,15,22,5,16,64,61,77,95
18,13,57,79,16,31,20,88,94,94
12,21,14,38,45,17,97,97,47,42
70,51,35,42,36,60,67,95,4,8
45,23,45,15,43,90,63,67,36,95
58,4,63,2,67,84,58,27,62,47
39,68,30,12,6,99,11,40,50,63
87,30,21,22,60,83,12,46,77,31
70,12,87,29,94,98,90,77,76,71
42,53,95,36,98,17,37,22,97,78
26,5,74,19,4,23,39,63,60,97
76,86,74,53,84,39,54,48,96,44
76,53,45,37,73,8,5,49,84,26
92,81,24,38,45,39,4,15,32,78
17,79,84,24,44,41,47,34,32,22
21,27,42,5,43,31,78,28,55,13
55,75,40,16,50,15,36,76,28,31
83,5,14,10,98,86,83,19,32,37
71,31,33,70,70,36,62,71,87,74
35,44,98,93,12,99,30,96,63,39
72,50,76,46,18,51,87,35,14,40
68,67,75,68,83,40,33,74,33,92
83,87,7,79,97,36,21,40,48,63
27,98,63,79,26,29,78,13,94,17
7,59,20,91,60,31,35,99,35,95
26,79,93,73,43,4,82,84,64,70
27,51,48,18,27,47,37,63,71,45
25,76,11,77,39,28,59,82,93,55
5,54,90,21,59,32,42,71,91,38
7,54,85,71,7,23,43,31,47,37
76,57,55,38,82,74,29,16,55,35
82,10,65,57,77,2,66,16,9,7
57,70,9,67,39,78,11,84,99,8
23,14,17,4,98,39,80,57,43,46
43,9,27,88,50,69,34,36,42,10
96,16,33,40,67,91,80,93,97,29
92,92,3,27,82,19,48,93,23,26
62,42,21,52,47,61,78,6,91,74
66,38,63,64,75,69,68,3,95,30
38,22,77,7,31,34,12,79,39,82
61,38,67,31,25,57,38,85,44,12
4,58,71,22,63,28,5,87,20,71
45,75,66,8,29,20,83,65,94,49
6,4,17,46,46,65,17,40,59,90
