65,96,68,78,9,24,66,25,11,90
2,71,8,86,18,28,44,84,15,11
39,51,68,83,26,66,47,53,64,40
43,56,1,76,33,22,19,79,79,83
71,95,89,85,51,2,83,86,2,75
91,52,82,82,65,34,32,11,40,97
28,21,29,24,38,73,14,43,12,32
62,19,95,60,4,62,27,27,20,22
51,42,85,92,25,15,39,77,94,72
47,49,42,56,19,73,66,19,16,29
82,10,83,16,32,88,85,19,25,99
60,88,81,34,28,47,63,9,44,99
74,4,74,64,38,90,30,32,55,37
17,89,59,68,3,52,71,82,38,93
6,65,50,98,83,92,19,81,57,54
92,56,36,74,90,86,91,84,88,10
40,71,54,33,23,41,30,42,70,59
70,53,7,17,38,57,66,68,35,77
31,81,64,46,78,85,52,91,37,57
23,96,31,50,49,3,68,88,49,87
52,60,4,60,59,34,64,90,7,8
38,69,70,80,89,58,86,22,82,13
5,60,4,23,93,98,92,80,60,98
80,71,29,14,45,47,3,31,90,90
52,2,35,79,51,88,95,47,61,12
39,28,15,17,66,87,79,66,42,63
22,0,46,83,34,72,6,33,70,26
86,17,77,87,93,80,60,87,24,9
90,46,82,70,18,0,4,86,8,98
84,77,38,27,10,3,47,53,51,76
69,62,20,47,76,31,69,68,89,34
75,18,76,55,63,24,54,86,42,93
5,74,54,14,8,79,18,33,45,19
27,46,76,62,36,43,29,40,17,42
7,76,91,62,46,55,43,74,57,81
73,11,17,92,96,35,42,26,91,30
31,1,94,93,38,16,36,71,78,20
10,39,21,15,20,95,80,56,94,84
26,36,8,6,71,47,68,95,89,62
55,29,66,22,22,31,4,89,19,40
73,15,3,39,40,34,56,90,53,99
13,36,40,71,6,34,54,65,41,96
73,5,29,90,60,20,6,49,14,71
59,44,73,32,35,93,2,94,4,91
43,7,12,96,86,33,44,60,20,26
38,18,34,54,53,1,96,55,43,75
82,93,91,94,41,42,16,92,38,96
51,57,83,38,24,61,59,55,30,30
38,11,58,55,98,28,78,15,0,22
69,81,35,96,2,45,94,49,61,53
69,37,24,2,21,77,98,85,22,5
9,52,62,41,49,58,50,27,43,4
66,74,39,78,53,25,40,67,22,41
6,15,72,36,92,56,0,24,76,27
60,86,28,4,68,87,55,3,69,83
83,9,11,48,23,98,24,62,33,11
51,63,41,79,26,89,93,6,17,58
12,50,47,69,45,3,41,38,90,25
6,84,44,55,31,3,25,7,51,57
75,43,8,38,6,28,34,6,77,82
66,1,24,39,10,41,37,70,17,63
94,10,13,58,85,33,37,37,69,34
32,89,94,24,85,22,31,17,93,44
97,73,31,42,82,78,43,33,83,87
91,5,32,43,88,30,81,81,31,56
30,84,12,64,96,27,53,4,65,95
4,46,5,66,93,7,62,24,53,90
0,85,44,64,96,64,39,31,10,91
90,99,6,87,98,46,13,91,3,70
29,14,17,32,46,88,11,74,24,88
2,49,94,40,90,10,12,80,49,48
71,33,71,52,91,40,39,2,38,87
36,30,67,31,5,69,31,84,66,44
10,55,34,48,29,80,38,7,96,27
